EmployeeID,FirstName,LastName,Gender,Age,State,DistanceFromHome (KM),BusinessTravel,Ethnicity,Education,EducationField,MaritalStatus
3012-1A41,Leonelle,Simco,Female,30,IL,27,Some Travel,White,Doctorate,Marketing,Divorced
CBCB-9C9D,Leonerd,Aland,Male,38,CA,23,Some Travel,White,Masters,Marketing,Single
95D7-1CE9,Ahmed,Sykes,Male,43,CA,29,Some Travel,Asian or Asian American,Masters,Marketing ,Married
47A0-559B,Ermentrude,Berrie,Non-Binary,39,IL,12,Some Travel,White,Bachelors,Computer Science,Married
42CC-040A,Stace,Savege,Female,29,CA,29,Some Travel,White,High School,Technical Degree,Single
C219-6C2E,Clerkclaude,Hinkins,Male,34,NY,30,Some Travel,Mixed or multiple ethnic groups,High School,Marketing,Divorced
D906-B674,Uta,Melmar,Female,42,NY,45,No Travel ,Black or African American,Bachelors,Information Systems,Married
3C7D-86ED,Joyan,Brason,Female,40,CA,3,Some Travel,Native Hawaiian ,High School,Other,Divorced
3D71-8DC2,Alix,Blazejewski,Male,38,IL,20,Some Travel,Black or African American,Masters,Marketing ,Married
5476-CA0D,Kayley,Snoad,Female,31,NY,4,Frequent Traveller,Native Hawaiian ,High School,Information Systems,Single
73CF-4956,Hannis,Waslin,Female,32,CA,42,Some Travel,White,Masters,Computer Science,Single
277A-A6FA,Annabela,Pablos,Female,35,NY,8,Some Travel,Other ,Masters,Information Systems,Single
8BAB-B4A6,Torey,Abram,Male,38,NY,35,Some Travel,Asian or Asian American,Bachelors,Marketing ,Single
111D-E5EF,Edna,Alison,Non-Binary,37,IL,3,Some Travel,White,Bachelors,Computer Science,Divorced
97F4-0B14,Vernen,Powner,Male,33,NY,4,Some Travel,Mixed or multiple ethnic groups,Masters,Other,Single
5C03-1009,Willetta,Lurriman,Female,42,IL,21,Some Travel,Black or African American,Bachelors,Information Systems,Married
BD1B-53A3,Wendall,Dryden,Male,43,CA,27,Some Travel,Mixed or multiple ethnic groups,Bachelors,Marketing,Single
